local;type;surface;nbpiece;prix
2083;0;523.0;6;980000
2083;1;151.0;3;375000
4216;1;207.0;3;380000
2083;0;445.0;3;950000
2083;1;179.0;3;349000
2083;1;110.0;3;255000
2036;0;260.0;3;790000
1100;1;158.0;3;535000
2036;0;220.0;4;750000
2036;1;373.0;4;1290000
2092;0;402.0;2;1050000
2091;1;155.0;3;385000
2091;1;223.0;4;560000
2083;1;223.0;4;448000
4216;1;187.0;5;430100
2091;1;141.0;3;380000
4216;1;162.0;3;386400
4216;1;113.0;3;260000
2083;1;166.0;3;345000
2060;1;200.0;2;495000
2080;0;490.0;2;700000
1100;1;155.0;3;370000
2091;1;182.0;4;400000
2036;1;243.0;3;630000
1053;1;131.0;4;650000
4216;1;160.0;3;350000
2083;1;181.0;3;460000
2036;1;187.0;3;370000
2036;0;1.3;4;1250000
2036;1;192.0;4;460000
1057;0;330.0;5;1090000
1053;1;156.0;3;655000
2034;0;536.0;2;1100000
1057;1;378.0;3;1280000
2083;1;163.0;3;385000
2091;1;105.0;4;195000
2016;1;186.0;2;507000
2083;0;780.0;2;1590000
2036;0;530.0;2;1290000
2036;0;232.0;3;700000
2091;1;175.0;4;415000
1053;1;117.0;2;480000
2036;0;240.0;2;650000
2083;0;550.0;2;1150000
2036;0;350.0;4;1680000
2083;1;160.0;3;395000
2092;0;300.0;2;570000
2036;0;440.0;2;900000
1057;0;1.039;4;2400000
2091;1;155.0;4;265000
2092;1;190.0;4;480000
2014;0;808.0;2;1050000
2070;1;124.0;2;285000
2091;1;157.0;4;435000
2015;1;102.0;2;185000
1057;1;324.0;2;1650000
2083;1;85.0;2;189000
2092;1;136.0;3;240000
2091;1;123.0;3;340000
2083;1;161.0;3;305000
2016;1;292.0;3;1480000
4216;1;104.0;2;255000
2092;0;350.0;3;1350000
2092;0;376.0;2;900000
2092;1;152.0;4;350000
4216;1;97.0;2;250000
2091;0;213.0;2;305000
2036;1;123.0;2;327500
2036;1;170.0;3;506000
2083;1;55.0;1;155000
2015;1;103.0;2;280000
2092;1;220.0;5;530000
2092;1;140.0;3;240000
2097;0;500.0;2;1090000
2080;1;184.0;5;398000
2097;0;500.0;2;530000
2016;0;300.0;2;950000
2083;1;203.0;3;585000
2091;0;413.0;2;950000
1057;1;170.0;3;545000
2016;1;183.0;3;530000
2060;1;160.0;3;315000
2016;1;114.0;2;380000
2091;1;50.0;1;120000
2016;1;75.0;2;190000
2097;1;105.0;3;217000
2084;1;124.0;4;160000
2091;1;132.0;3;229000
2034;0;576.0;2;600000
2080;1;200.0;2;540000
2080;0;500.0;3;1500000
2015;1;97.0;3;250000
2092;1;281.0;5;490000
1053;0;500.0;2;3500000
2084;0;409.0;2;600000
1057;1;140.0;2;800000
2080;1;97.0;3;210000
2016;1;241.0;3;765000
2036;1;143.0;3;325000
2083;1;151.0;3;483000
2016;1;100.0;3;350000
2080;0;600.0;2;720000
2014;0;278.0;2;474000
2036;0;170.0;2;170000
2080;0;235.0;2;397000
2091;1;240.0;3;213000
2080;0;300.0;4;500000
2092;0;570.0;2;1750000
2080;0;440.0;2;860000
2091;0;600.0;2;1870000
2097;0;431.0;2;719000
2080;0;240.0;2;750000
2080;1;116.0;4;329000
2091;1;70.0;2;169000
2080;1;103.0;3;300000
2083;1;196.0;3;480000
2010;1;121.0;2;220000
2000;0;300.0;2;590000
2091;1;102.0;2;300000
2091;0;724.0;8;780000
2014;1;147.0;4;420000
2080;1;162.0;3;390000
1057;1;150.0;2;445000
2036;0;897.0;5;1250000
1100;1;200.0;3;580000
1053;1;130.0;2;530000
2036;0;475.0;4;1200000
2091;1;80.0;2;200000
2015;0;100.0;2;250000
2091;0;527.0;2;1500000
2016;1;129.0;2;340000
2060;1;100.0;2;420000
2083;1;150.0;3;345000
2036;0;240.0;2;620000
2016;1;186.0;3;640000
2016;1;270.0;4;1460000
2080;0;484.0;2;880000
2036;0;300.0;4;1000000
2016;1;165.0;3;580000
2016;1;160.0;2;554000
2010;1;120.0;2;235000
2092;1;95.0;4;166000
2080;1;135.0;4;320000
2083;1;156.0;3;350000
2016;1;129.0;2;380000
2034;1;111.0;3;280000
2015;1;120.0;3;160000
2091;0;205.0;2;430000
1082;1;133.0;3;340000
2091;0;900.0;5;1700000
2083;1;185.0;5;405000
2036;0;155.0;2;190000
2060;1;129.0;4;330000
2070;1;223.0;3;850000
1057;1;110.0;2;530000
2015;1;115.0;2;295000
1100;1;232.0;2;560000
2097;0;150.0;2;339000
2016;1;139.0;2;410000
2016;1;129.0;2;370000
2097;0;694.0;2;459000
2092;0;475.0;2;1150000
2080;1;180.0;4;405000
2070;1;207.0;2;610000
1057;1;126.0;2;350000
2092;1;80.0;3;140000
1057;0;525.0;2;2200000
2016;1;184.0;3;552000
2080;1;78.0;2;182362
2092;1;110.0;3;220000
2091;0;649.0;2;1190000
2014;1;100.0;3;260000
2091;0;660.0;2;1500000
2091;1;145.0;4;338000
2016;1;230.0;3;624953
2036;1;120.0;4;1200000
2092;0;450.0;2;870000
2016;1;264.0;4;822768
2080;0;240.0;2;570000
1057;1;120.0;3;350000
2083;1;150.0;3;295000
2091;1;70.0;2;176000
2091;1;145.0;3;630000
1057;0;259.0;2;780000
2060;1;89.0;2;190000
2060;1;250.0;3;550000
4216;1;163.0;4;320000
2000;0;230.0;2;480000
2070;1;133.0;4;390000
2080;1;42.0;2;140000
2070;1;68.0;1;475000
2036;1;82.0;2;225000
4216;1;154.0;3;305000
2034;1;95.0;2;178000
2091;1;167.0;5;490000
2092;1;90.0;3;180000
4216;1;106.0;2;200000
2091;1;105.0;3;280000
2084;1;73.0;2;154146
2090;0;11.049;2;440000
2091;0;768.0;2;1550000
2084;0;654.0;2;890000
1100;1;182.0;3;600000
2083;1;140.0;3;350000
2016;1;100.0;3;290000
2091;1;35.0;1;109000
2016;1;100.0;1;332772
2083;1;181.0;3;380000
2080;1;165.0;2;330000
2063;1;90.0;3;95000
2036;1;173.0;3;350000
2034;1;108.0;3;187000
2080;1;90.0;1;150000
2091;1;101.0;3;220000
2036;0;466.0;2;430000
2010;1;162.0;4;305000
2000;0;170.0;2;849150
2036;1;163.0;3;490000
2097;0;145.0;2;299000
2074;0;200.0;2;385000
2036;0;388.0;2;640000
2084;1;98.0;3;162000
2091;0;521.0;2;1020000
2097;1;130.0;4;167000
2080;1;53.0;2;95000
2091;1;125.0;4;190000
2091;1;116.0;3;240000
2000;1;65.0;2;130000
2000;0;300.0;2;380000
2091;0;420.0;2;1180000
2010;0;150.0;2;370000
2092;1;150.0;4;490000
1053;1;220.0;3;980000
2080;0;360.0;2;650000
2083;0;450.0;2;1200000
1053;1;101.0;2;450000
2070;1;150.0;4;690000
2080;1;137.0;3;270000
1053;1;180.0;3;760000
2015;1;104.0;3;230000
2015;0;78.0;2;630000
2015;1;128.0;2;340000
2070;1;64.0;2;280000
2091;1;111.0;4;295000
2010;0;247.0;2;290000
2092;1;224.0;5;395000
2083;1;87.0;1;250000
2083;1;98.0;3;230000
2083;1;98.0;1;280000
2060;1;67.0;2;170000
2092;0;400.0;2;1350000
2092;1;70.0;2;240000
2010;1;142.0;4;220000
2080;0;468.0;2;830000
2036;1;131.0;2;361000
4216;1;110.0;2;240000
4216;1;67.0;1;185000
2097;0;145.0;4;330000
2080;1;82.0;3;220000
2015;1;45.0;2;110000
2084;0;375.0;2;390000
2036;0;260.0;2;620000
2083;1;90.0;2;465000
2070;0;300.0;2;2600000
2015;0;250.0;2;450000
2010;1;124.0;3;220000
1082;0;136.0;2;980000
1057;1;230.0;3;980000
4216;1;58.0;1;145000
2080;1;130.0;4;180000
2097;1;89.0;2;155750
2080;0;180.0;2;270000
2097;1;125.0;3;285000
2092;1;90.0;3;210000
2090;0;120.0;2;220000
2036;1;266.0;4;530000
2080;0;225.0;2;450000
2000;1;100.0;4;250000
2000;1;87.0;4;140000
2091;1;60.0;1;135000
2040;1;100.0;4;125000
2063;0;2.591;2;2000000
2063;1;110.0;4;137000
2015;0;242.0;2;635000
2070;1;74.0;2;330000
2080;0;150.0;2;295000
2036;1;123.0;2;340000
2000;1;80.0;4;140000
2097;0;533.0;2;940000
2097;0;72.0;2;89000
2090;0;274.0;2;100000
2010;1;107.0;3;130000
2080;0;800.0;2;1000000
2092;1;109.0;4;185000
2000;1;65.0;2;100000
2060;1;80.0;2;150000
2097;1;150.0;3;258000
1000;0;318.0;2;1200000
2014;0;251.0;2;800000
2097;0;460.0;2;770000
1000;0;350.0;2;2150000
2080;0;350.0;2;1300000
2080;1;67.0;2;140000
2097;1;85.0;3;165000
2097;1;80.0;2;117000
2084;1;60.0;1;118000
4216;1;78.0;3;175000
2060;0;300.0;2;850000
2090;0;2.7;2;970000
2074;1;111.0;3;170000
2092;1;36.0;1;88000
2097;0;622.0;2;890000
2092;1;100.0;4;165000
2097;0;180.0;2;149000
2074;1;76.0;3;95000
1053;1;100.0;3;460000
8050;0;477;2;980000
8050;0;150;3;650000
8050;1;85;2;260000
8050;1;99;2;490000
8050;0;316;4;890000
8050;1;83;2;240000
8050;0;120;3;1600000
8050;1;100;2;350000
8050;1;159;2;390000
8050;1;107;2;310000
8050;1;56;1;180000
8050;1;70;2;155000
8050;1;140;2;400000
8050;1;113;2;337000
8050;1;134;2;570000
8050;1;75;2;230000
8050;1;110;2;330000
8050;1;95;2;170000
8050;1;98;2;265000
8050;1;72;1;210000
8050;0;250;5;1100000
8050;1;88;2;272000
8050;1;68;1;196000
8050;0;400;2;1300000
8050;0;480;4;1080000
8050;1;58;1;335000
8000;0;405;2;900000
8000;1;114;3;330000
8000;1;200;3;365000
8000;0;536;6;1200000
8000;1;120;2;320000
8000;1;121;3;230000
5100;0;536;2;630000
5100;1;246;3;495000
5100;1;90;2;175000
5100;0;370;4;715000
5100;1;58;3;150000
5100;1;136;2;370000
5100;1;120;3;275000
5100;1;103;2;297000
5100;1;616;2;1195000
5100;1;57;2;140000
5100;0;200;2;300000
5100;1;97;2;169000
5100;1;101;2;83000
5100;0;450;2;750000
5100;1;104;3;210000
5100;1;120;2;310000
5100;1;200;2;220000
5100;1;57;1;120000
5100;1;105;2;189000
5100;0;705;4;640000
5100;1;100;2;168000
5100;0;452;2;775000
5100;1;108;3;148000
5100;1;120;3;160000
5100;1;70;2;83000
5100;0;151;4;140000
5100;1;180;3;195000
5100;1;200;2;220000
5100;0;489;2;630000
5100;1;88;2;135000
5100;0;113;2;190000
5000;1;89;2;175000
5000;0;458;2;835000
5000;1;165;4;290000
5000;1;200;4;700000
5000;1;220;4;385000
5000;1;77;2;175000
5000;1;100;3;175000
5000;1;115;3;195000
5000;1;72;1;190000
5000;1;90;2;296000
5000;1;138;3;187000
5000;1;138;3;236000
5000;0;685;2;1180000
5000;1;55;1;137900
5000;1;120;2;160000
5000;1;124;3;350000
5000;1;100;2;195000
5000;0;608;2;790000
5000;1;108;3;115000
5000;0;400;2;750000
5000;1;90;2;148000
5000;1;100;2;129000
5000;1;85;3;270000
5000;1;101;3;265000
5000;0;520;2;680000
5000;1;100;2;180000
5000;1;110;3;150000
5000;1;200;2;2600000
5000;1;135;3;250000
5000;1;98;2;242000
5000;1;56;1;135000
5000;0;100;2;165000
5000;1;124;2;169000
5000;1;92;3;150000
5000;0;140;3;227000
5000;1;93;2;109000
5000;1;100;3;225800
5000;1;114;4;279000
5000;0;480;2;300000
5000;1;250;2;200000
5000;1;85;2;73000
5000;1;34;1;66000
5000;1;234;2;600000
5000;1;841;2;410000
5000;1;420;2;420000
5000;1;70;2;110000
5000;1;274;2;246000
5000;1;402;2;301500
5000;1;476;2;1120000
5000;1;477;2;380000
5000;1;340;2;365000
5000;1;500;2;500000
5000;1;100;2;105000
5000;1;382;2;275000
5000;1;62;2;183000
5000;1;432;2;390000
5000;1;43;2;127000
5000;1;70;2;568000
4054;1;135;3;295000
4054;1;156;3;340000
4023;1;82;2;105000
4054;1;142;3;340000
4054;1;114;2;273500
4000;1;242;3;530000
4054;0;480;2;950000
4042;0;200;4;490000
4054;1;174;3;375000
4054;1;125;3;230000
4051;1;160;3;350000
4004;0;220;3;495000
4054;1;135;2;290000
4042;1;100;2;270000
4023;1;80;2;69000
4004;0;280;4;370000
4051;0;332;3;520000
4042;1;65;2;220000
4054;1;110;2;185000
4054;1;156;3;275000
4000;1;129;2;284000
4054;1;160;3;255000
4054;1;160;3;350000
4054;1;156;2;295000
4051;1;130;3;345000
4051;1;152;2;400000
4054;1;122;2;269000
4054;1;105;2;225000
4042;1;138;4;324000
4000;1;146;3;320000
4054;1;127;3;267000
4000;1;91;1;170000
4000;1;240;4;310000
4054;1;150;3;250000
4042;1;100;2;280000
4051;1;130;3;435000
4054;1;115;3;227000
4054;0;525;2;640000
4042;1;70;2;260000
4042;1;106;3;370000
4089;0;773;6;1380000
4004;1;155;2;305000
4000;1;150;2;175000
4042;1;60;2;200000
4042;0;660;2;1100000
4023;0;300;4;480000
4054;1;80;2;135000
4004;1;105;3;270000
4054;1;156;3;345000
4054;1;156;3;345000
4089;1;127;2;500000
4004;1;76;3;175000
4054;1;90;2;180000
4012;1;145;3;300000
4054;1;110;2;265000
4051;0;170;2;350000
4000;1;108;2;193000
4000;1;67;1;145000
4000;1;168;3;360000
4051;1;128;4;335000
4012;0;271;3;385000
4000;0;713;3;735000
4012;1;105;2;220000
4051;1;70;1;190000
4000;1;200;2;1200000
4054;1;115;3;220000
4054;1;125;3;242000
4054;1;100;2;185000
4000;0;493;2;720000
4042;1;140;3;240000
4042;1;30;1;98000
4000;0;400;2;1100000
4051;1;104;2;230000
4042;1;93;3;220118
4054;1;90;2;120000
4004;1;120;3;310000
4051;1;98;2;320000
4051;1;264;3;570000
4089;1;57;1;175000
4000;0;405;2;330000
4000;1;105;3;139000
4054;1;100;3;230000
4054;0;578;2;670000
4054;0;700;2;650000
4000;1;67;1;115000
